codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
364418,"IQUINE SUPER LAVAVEL SB 3,6L BR NEVE UN",L,tinta_branca,2026-09-13T13:50:04Z,187.1,187.1
996,KIT BRANCO CRISTAL II PU VW SKYLACK 900ML,PC,tinta_branca,2026-09-09T20:30:05Z,83.0,69.81
219,KIT BRANCO GEADA PU SKYLACK,UN,tinta_branca,2026-09-11T20:44:29Z,77.0,65.42
211760,KIT BRANCO GEADA PU SKYLACK,UN,tinta_branca,2026-09-15T17:08:02Z,83.0,70.23
1465,KIT BRANCO PURO PU SKYLACK,UN,tinta_branca,2026-09-15T20:14:53Z,77.0,65.08
1465,KIT BRANCO PURO PU SKYLACK,UN,tinta_branca,2026-09-15T14:52:01Z,77.0,65.35
1853,KIT BRANCO PURO PU SKYLACK,MR,tinta_branca,2026-09-12T16:04:51Z,83.0,74.35666666666667
3129,LAZZUDUR BRANCO SUMMIT LISA - WA8624 900ML,UN,tinta_branca,2026-09-10T13:39:27Z,62.99,62.99
3153,LAZZUDUR PU BRANCO PURO II,UN,tinta_branca,2026-09-15T17:17:05Z,54.99,51.145
07562,LAZZUDUR PU BRANCO PURO II,L,tinta_branca,2026-09-10T17:32:41Z,55.2,55.2
07562,LAZZUDUR PU BRANCO PURO II,L,tinta_branca,2026-09-14T17:27:03Z,69.0,62.1
07562,LAZZUDUR PU BRANCO PURO II,L,tinta_branca,2026-09-11T13:25:51Z,69.0,65.36
1577,LUCRILAR TINTA BRANCO GELO INT 18KG,UN,tinta_branca,2026-09-15T17:22:36Z,80.0,80.0
1576,LUCRILAR TINTA BRANCO NEV INT 18KG,UN,tinta_branca,2026-09-11T16:05:41Z,80.0,76.1
5562,MASSA ACRILICA 20 KG TINTAS LUX,UN,tinta_acrilica,2026-09-12T20:27:20Z,140.0,140.0
33553,MASSA ACRILICA 20KG HIDROTINTAS,BD,tinta_acrilica,2026-09-10T13:57:42Z,110.0,110.0
7537,MASSA ACRILICA 20KG HIDROTINTAS,BD,tinta_acrilica,2026-09-15T19:42:31Z,145.0,145.0
364,MASSA ACRILICA 4KG - TINTAS LUX,UN,tinta_acrilica,2026-09-12T16:02:57Z,40.0,40.0
464,MASSA ACRILICA 5 5 KG HIDROTINTAS,GL,tinta_acrilica,2026-09-12T15:24:30Z,60.0,60.0
