codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
14661,TINTA SPRAY U GER 400ML AL/ROD CHEMICOLO,,0,32082011,83000000,SP,2026-09-13T15:44:31Z,16.0,16.0
011557,TINTA SPRAY U GER 400ML BR CHEMICOLOR,T SPRAY USO G BR BRILHANTE 400ML CHEMIC 1X400ML CHEMICOLOR,7898436140581,32082011,83000000,UND,2026-09-10T18:11:37Z,18.0,16.0
0000000004446,TINTA SPARY UG PRETO,,7898314112709,32082011,83000000,UN,2026-09-14T16:20:53Z,16.0,16.0
0000000004447,TINTA SPARY UG PRETO,,7898314112693,32082011,83000000,UN,2026-09-11T19:10:52Z,16.0,16.0
2682,SPRAY TINTAS LUX U GERAL BR BRILH 400ML,,0,32082019,83000000,UN,2026-09-10T18:37:13Z,16.0,16.0
6077,TINTA SPRAY 400ML CINZA ESCURO - CHEMICOLOR,,0,32082011,83000000,UN,2026-09-13T12:46:08Z,16.9,16.1
10852,TINTA SPRAY 350ML BRANCO USO G. - TEK BOND,,0,32082019,83000000,UN,2026-09-13T12:46:08Z,16.9,16.1
0074468050907,TINTA SPRAY USO GERA,,0,32082019,83000000,UN,2026-09-09T19:11:03Z,17.95,16.15
18333,TINTA SPRAY PAINTCOLOR PRETO FOSCO 400ML,,7899674036407,32082011,83000000,UND,2026-09-11T17:24:06Z,17.99,16.19
CFOP5405,MAZA ESMALTE SINTETICO VERDE FOLHA 225ML,TINTA ESM SINT 225ML VD FOLHA 1X225MLMAZA,7898289935075,32081010,83000000,UN,2026-09-15T18:58:09Z,20.0,16.19
